Spanish,German
el,der
la,die
de,von
que,dass
y,und
en,in
a,zu/an
no,nein
un,ein
por,durch/für
con,mit
su,sein/ihr
para,für
es,ist
lo,es (Akk.)
las,die (Plural)
los,die (Plural)
me,mich/mir
se,sich
es ist,es ist
está,ist (Ort/Zustand)
pero,aber
si,wenn/ob
más,mehr
este,dieser
esta,diese
sí,ja
o,oder
este,dieser
muy,sehr
ya,schon
cuando,wenn
también,auch
yo,ich
hasta,bis
hay,es gibt
porque,weil
tú,du
cómo,wie
todos,todos/alle
qué,was
nos,uns
sobre,über
también,auch
mi,mein
alguno,einige/manche
mismo,selbe
otro,anderer
tiene,hat
ya,schon
puede,kann
así,so
dos,zwei
solo,nur
tiene,hat
todo,alles
años,Jahre
muy,sehr
todavía,noch
algo,etwas
nada,nichts
siempre,immer
tan,so
ahora,jetzt
poco,wenig
allí,dort
creo,glaube
algo,etwas
pues,denn/na ja
entonces,dann
puede,kann
donde,wo
bien,gut
eso,das
esa,jene
ese,jener
aquí,hier
voy,gehe
tengo,habe
tú,du
quiero,will
va,geht
estoy,bin
estamos,sind
estás,bist
están,sind (Plural)
soy,bin
eres,bist
es,ist
somos,sind
son,sind
era,war
eran,waren
fue,war (Prät.)
fueron,waren (Plural Prät.)
ser,sein
estar,sein (Zustand)
tener,haben
hacer,machen/tun
poder,können
decir,sagen
ir,gehen
ver,sehen
dar,geben
saber,wissen
querer,wollen
llegar,ankommen
pasar,verbringen/passieren
deber,sollen/müssen
poner,stellen/legen
parecer,scheinen
quedar,bleiben
creer,glauben
hablar,sprechen
llevar,bringen/tragen
dejar,lassen
seguir,folgen/weitermachen
encontrar,finden
llamar,nennen/rufen
venir,kommen
pensar,denken
salir,rausgehen
volver,zurückkommen
tomar,nehmen
conocer,kennen
vivir,leben/wohnen
sentir,fühlen
tratar,behandeln/versuchen
mirar,schauen
contar,erzählen/zählen
empezar,anfangen
esperar,warten/erwarten
buscar,suchen
existir,existieren
entrar,eintreten
trabajar,arbeiten
escribir,schreiben
perder,verlieren
producir,produzieren
ocurrir,geschehen
entender,verstehen
pedir,bitten/fragen
recibir,erhalten
recordar,erinnern
terminar,beenden/aufhören
permitir,erlauben
aparecer,erscheinen
lograr,erreichen/schaffen
explicar,erklären
preguntar,fragen
tocar,berühren/spielen
reconocer,erkennen
estudiar,lernen/studieren
alcanzar,erreichen
nacer,geboren werden
dirigir,leiten/führen
correr,laufen
utilizar,benutzen
